Username,ItemID,Bias,EventName
michaelbates,1,Kazuha,Reality Show
nmanning,2,Eunchae,Reality Show
frobinson,3,Yunjin,Merch Sale Event
scottwalker,4,Yunjin,Merch Sale Event
warnold,5,Sakura,Tour
riverastanley,6,Eunchae,Reality Show
kristapierce,7,Kazuha,Fan Meet-Up
peggyfisher,8,Kazuha,Concert
gregory33,9,Yunjin,Reality Show
qjames,10,Yunjin,Merch Sale Event
xboyd,11,Sakura,Merch Sale Event
justin94,12,Chaewon,Merch Sale Event
frankvaughn,13,Kazuha,Tour
ybishop,14,Chaewon,Tour
sean45,15,Chaewon,Merch Sale Event
rmartinez,16,Eunchae,Reality Show
alisonbrown,17,Chaewon,Reality Show
melanie27,18,Eunchae,Reality Show
christopher51,19,Yunjin,Concert
kimberly05,20,Sakura,Fan Meet-Up
erik04,21,Kazuha,Merch Sale Event
williamsbriana,22,Yunjin,Fan Meet-Up
kbaker,23,Sakura,Fan Meet-Up
charlesorozco,24,Eunchae,Fan Meet-Up
beaton,25,Eunchae,Tour
cbriggs,26,Yunjin,Reality Show
qnewton,27,Chaewon,Concert
ualvarez,28,Chaewon,Fan Meet-Up
gonzalezalexandria,29,Eunchae,Merch Sale Event
david15,30,Sakura,Merch Sale Event
justin12,31,Eunchae,Tour
amiller,32,Chaewon,Merch Sale Event
greenmichael,33,Sakura,Merch Sale Event
jherrera,34,Eunchae,Merch Sale Event
ggardner,35,Sakura,Tour
briantaylor,36,Yunjin,Tour
rhonda18,37,Kazuha,Concert
johnmay,38,Eunchae,Merch Sale Event
jackie99,39,Yunjin,Fan Meet-Up
snyderashley,40,Eunchae,Tour
allison84,41,Kazuha,Reality Show
alexandrawright,42,Kazuha,Merch Sale Event
williamssteven,43,Chaewon,Concert
davidjohnson,44,Kazuha,Tour
lori19,45,Chaewon,Fan Meet-Up
gfrazier,46,Sakura,Merch Sale Event
brendan94,47,Sakura,Tour
william89,48,Kazuha,Tour
edgarcampbell,49,Chaewon,Fan Meet-Up
qtran,50,Chaewon,Reality Show
nancy52,51,Eunchae,Fan Meet-Up
elizabethbrewer,52,Yunjin,Reality Show
douglasnelson,53,Yunjin,Fan Meet-Up
hinesmatthew,54,Sakura,Fan Meet-Up
lauramcintosh,55,Yunjin,Fan Meet-Up
hansonmichael,56,Sakura,Fan Meet-Up
jason47,57,Chaewon,Fan Meet-Up
jbrown,58,Eunchae,Reality Show
isaiah79,59,Yunjin,Tour
christina64,60,Chaewon,Reality Show
amystrickland,61,Eunchae,Reality Show
simmonsjorge,62,Yunjin,Fan Meet-Up
castrobarbara,63,Eunchae,Concert
lindseytaylor,64,Kazuha,Reality Show
jacobsrobert,65,Eunchae,Reality Show
angela73,66,Chaewon,Concert
jenniferfarrell,67,Eunchae,Tour
amandapope,68,Sakura,Merch Sale Event
jerry48,69,Kazuha,Merch Sale Event
lindseysharon,70,Kazuha,Fan Meet-Up
cody15,71,Chaewon,Merch Sale Event
donnagarcia,72,Chaewon,Concert
stacy94,73,Eunchae,Tour
steven42,74,Chaewon,Reality Show
johnmay,75,Chaewon,Fan Meet-Up
ybryant,76,Chaewon,Tour
susan52,77,Chaewon,Merch Sale Event
torresteresa,78,Kazuha,Fan Meet-Up
laura73,79,Sakura,Tour
jmartinez,80,Chaewon,Tour
cynthia38,81,Yunjin,Concert
timothyjohnson,82,Yunjin,Merch Sale Event
kevin16,83,Eunchae,Fan Meet-Up
michael75,84,Sakura,Fan Meet-Up
james64,85,Sakura,Reality Show
wlopez,86,Sakura,Concert
fgreene,87,Kazuha,Fan Meet-Up
webbstanley,88,Eunchae,Concert
smithandrew,89,Eunchae,Fan Meet-Up
burkeyolanda,90,Yunjin,Fan Meet-Up
yharrison,91,Chaewon,Tour
gregory15,92,Chaewon,Tour
hillkristi,93,Chaewon,Merch Sale Event
aking,94,Kazuha,Reality Show
christinamoore,95,Sakura,Merch Sale Event
kevin16,96,Sakura,Fan Meet-Up
ginamorris,97,Eunchae,Concert
melissa54,98,Kazuha,Concert
cbriggs,99,Sakura,Merch Sale Event
morganstacey,100,Kazuha,Tour
mary28,101,Sakura,Reality Show
gilbertmartinez,102,Chaewon,Reality Show
melaniemathis,103,Eunchae,Tour
qgraham,104,Sakura,Tour
clementschristopher,105,Chaewon,Tour
melissajimenez,106,Sakura,Merch Sale Event
johnsonashley,107,Eunchae,Fan Meet-Up
justin12,108,Yunjin,Concert
kellybarnes,109,Sakura,Fan Meet-Up
brownbobby,110,Eunchae,Fan Meet-Up
drewsmith,111,Yunjin,Merch Sale Event
justin12,112,Sakura,Fan Meet-Up
donald99,113,Eunchae,Merch Sale Event
vlopez,114,Sakura,Merch Sale Event
christophershepherd,115,Chaewon,Tour
crystalhicks,116,Sakura,Tour
victoriagallagher,117,Chaewon,Reality Show
bruceconner,118,Chaewon,Merch Sale Event
gilbertmartinez,119,Sakura,Reality Show
christopherfields,120,Chaewon,Tour
wgoodman,121,Eunchae,Reality Show
donna39,122,Sakura,Fan Meet-Up
brianchavez,123,Yunjin,Concert
palmertammy,124,Chaewon,Merch Sale Event
theresa92,125,Kazuha,Fan Meet-Up
justin51,126,Eunchae,Tour
krivera,127,Sakura,Concert
ibishop,128,Chaewon,Concert
donald15,129,Yunjin,Merch Sale Event
hwest,130,Sakura,Fan Meet-Up
ualvarez,131,Yunjin,Tour
handerson,132,Sakura,Reality Show
sheriwilson,133,Yunjin,Concert
robert99,134,Sakura,Fan Meet-Up
olsonamber,135,Yunjin,Fan Meet-Up
tmcdonald,136,Kazuha,Merch Sale Event
markwatson,137,Kazuha,Fan Meet-Up
rebeccabrown,138,Sakura,Tour
ldiaz,139,Eunchae,Concert
sharpellen,140,Eunchae,Tour
barrettadrian,141,Sakura,Concert
aprilcampbell,142,Yunjin,Fan Meet-Up
jimeneztimothy,143,Kazuha,Reality Show
carl18,144,Kazuha,Merch Sale Event
andersonkimberly,145,Kazuha,Reality Show
cbrown,146,Chaewon,Reality Show
panderson,147,Eunchae,Reality Show
vgarcia,148,Sakura,Fan Meet-Up
martinmcintosh,149,Eunchae,Merch Sale Event
melissajimenez,150,Kazuha,Merch Sale Event
emaldonado,151,Sakura,Tour
imcmahon,152,Sakura,Merch Sale Event
marquezchristopher,153,Sakura,Concert
markhenry,154,Sakura,Fan Meet-Up
wrightmartin,155,Chaewon,Fan Meet-Up
charles82,156,Sakura,Tour
walterslauren,157,Kazuha,Tour
april02,158,Chaewon,Fan Meet-Up
smithdavid,159,Kazuha,Reality Show
donbentley,160,Eunchae,Merch Sale Event
eberg,161,Sakura,Reality Show
kirbychristy,162,Kazuha,Reality Show
darrellwilson,163,Eunchae,Reality Show
melissalawson,164,Sakura,Tour
anthonyjimenez,165,Sakura,Merch Sale Event
rswanson,166,Sakura,Reality Show
williamsmarc,167,Sakura,Fan Meet-Up
rebecca90,168,Kazuha,Fan Meet-Up
deborahtownsend,169,Sakura,Concert
pwells,170,Kazuha,Merch Sale Event
sarah10,171,Yunjin,Reality Show
peggyfisher,172,Chaewon,Reality Show
martinezmichael,173,Sakura,Fan Meet-Up
owood,174,Chaewon,Reality Show
smithkelli,175,Sakura,Concert
justin51,176,Sakura,Merch Sale Event
justin51,177,Sakura,Fan Meet-Up
tstevenson,178,Kazuha,Concert
greeramanda,179,Sakura,Fan Meet-Up
vhamilton,180,Sakura,Concert
wfields,181,Eunchae,Tour
morsedarren,182,Sakura,Reality Show
iclark,183,Yunjin,Concert
pachecodavid,184,Kazuha,Fan Meet-Up
susan52,185,Yunjin,Concert
ann85,186,Chaewon,Merch Sale Event
matthewsantos,187,Kazuha,Reality Show
ajimenez,188,Sakura,Reality Show
ballardmichael,189,Sakura,Reality Show
jeffreyross,190,Kazuha,Reality Show
villegasdon,191,Eunchae,Fan Meet-Up
tyleraguilar,192,Chaewon,Tour
smithemily,193,Yunjin,Concert
grahamrachael,194,Chaewon,Merch Sale Event
john34,195,Yunjin,Reality Show
hernandezamy,196,Sakura,Concert
robert82,197,Eunchae,Concert
martinezshelby,198,Kazuha,Concert
ualvarez,199,Kazuha,Fan Meet-Up
wattshannah,200,Yunjin,Reality Show
andersonstephanie,201,Chaewon,Tour
jasonlopez,202,Eunchae,Concert
jacobsrobert,203,Eunchae,Concert
alan84,204,Chaewon,Tour
avilajimmy,205,Yunjin,Fan Meet-Up
alexiscampbell,206,Sakura,Tour
kelly38,207,Eunchae,Fan Meet-Up
pdaniel,208,Chaewon,Concert
pinedagabrielle,209,Kazuha,Tour
gregorycraig,210,Sakura,Fan Meet-Up
zwells,211,Kazuha,Concert
stephenchambers,212,Yunjin,Fan Meet-Up
annacarter,213,Kazuha,Fan Meet-Up
cynthia38,214,Kazuha,Reality Show
marksalazar,215,Kazuha,Reality Show
karigoodman,216,Eunchae,Merch Sale Event
fischerchristopher,217,Yunjin,Reality Show
phillipsstephen,218,Kazuha,Concert
kristapierce,219,Sakura,Tour
johngonzalez,220,Eunchae,Merch Sale Event
williamsjohnny,221,Chaewon,Fan Meet-Up
qbradley,222,Yunjin,Fan Meet-Up
lisa62,223,Chaewon,Merch Sale Event
judypark,224,Chaewon,Merch Sale Event
lorismith,225,Sakura,Fan Meet-Up
elizabeth26,226,Chaewon,Merch Sale Event
tmcdonald,227,Eunchae,Fan Meet-Up
mooremichele,228,Kazuha,Tour
westlauren,229,Eunchae,Concert
eugene70,230,Kazuha,Concert
frankvaughn,231,Eunchae,Reality Show
isaiah79,232,Kazuha,Tour
mathewskristen,233,Chaewon,Fan Meet-Up
bennettjames,234,Chaewon,Merch Sale Event
dgomez,235,Kazuha,Reality Show
martin36,236,Yunjin,Concert
brandinelson,237,Chaewon,Reality Show
qjames,238,Eunchae,Fan Meet-Up
lbarron,239,Sakura,Fan Meet-Up
zhamilton,240,Eunchae,Tour
julia39,241,Sakura,Tour
ccopeland,242,Yunjin,Fan Meet-Up
iward,243,Eunchae,Tour
burkeyolanda,244,Kazuha,Merch Sale Event
tony42,245,Sakura,Merch Sale Event
wsmith,246,Chaewon,Concert
nsantiago,247,Kazuha,Concert
charlenecunningham,248,Eunchae,Concert
connorramos,249,Kazuha,Tour
ybrown,250,Eunchae,Reality Show
teresamoses,251,Chaewon,Concert
ptaylor,252,Sakura,Reality Show
zcarpenter,253,Sakura,Merch Sale Event
mwatson,254,Chaewon,Concert
wayne22,255,Kazuha,Concert
amber79,256,Eunchae,Reality Show
mckinneyjulie,257,Yunjin,Merch Sale Event
patriciarogers,258,Sakura,Concert
jacqueline58,259,Kazuha,Merch Sale Event
millerrandy,260,Kazuha,Reality Show
markvillarreal,261,Chaewon,Merch Sale Event
nathanielali,262,Eunchae,Fan Meet-Up
sarah89,263,Chaewon,Fan Meet-Up
brianjohnson,264,Yunjin,Fan Meet-Up
daniel67,265,Chaewon,Concert
millerrandy,266,Kazuha,Merch Sale Event
steven38,267,Kazuha,Reality Show
shepherdtammy,268,Kazuha,Tour
ohuerta,269,Kazuha,Fan Meet-Up
michaelhawkins,270,Yunjin,Concert
martin36,271,Yunjin,Tour
collinsmichele,272,Eunchae,Tour
robinsondenise,273,Kazuha,Reality Show
rwolfe,274,Kazuha,Merch Sale Event
amendez,275,Sakura,Tour
hgordon,276,Kazuha,Reality Show
john39,277,Sakura,Tour
fmoore,278,Sakura,Merch Sale Event
hutchinsonpamela,279,Chaewon,Tour
sarahbrown,280,Kazuha,Tour
annaschmidt,281,Yunjin,Concert
jacksonsanford,282,Chaewon,Reality Show
tjames,283,Chaewon,Concert
laura13,284,Kazuha,Merch Sale Event
fmartin,285,Sakura,Concert
jacobwhite,286,Sakura,Tour
brittneypeterson,287,Kazuha,Merch Sale Event
myersrobert,288,Chaewon,Tour
craig69,289,Chaewon,Concert
onguyen,290,Kazuha,Fan Meet-Up
julieadams,291,Kazuha,Fan Meet-Up
ggalvan,292,Sakura,Merch Sale Event
susanfarley,293,Chaewon,Merch Sale Event
iguerrero,294,Sakura,Tour
kmills,295,Chaewon,Tour
jsmith,296,Eunchae,Concert
ukerr,297,Kazuha,Concert
christinecarlson,298,Chaewon,Reality Show
nathan18,299,Eunchae,Tour
wadebrett,300,Eunchae,Merch Sale Event
stephanie89,301,Chaewon,Tour
parkercathy,302,Eunchae,Concert
nicholasfletcher,303,Yunjin,Tour
tony19,304,Sakura,Reality Show
sean45,305,Chaewon,Merch Sale Event
carlsonlindsay,306,Sakura,Fan Meet-Up
rebecca90,307,Kazuha,Concert
aaron89,308,Sakura,Fan Meet-Up
charles82,309,Kazuha,Tour
davidmack,310,Yunjin,Fan Meet-Up
jnelson,311,Yunjin,Fan Meet-Up
angela90,312,Eunchae,Concert
adamcooper,313,Eunchae,Merch Sale Event
melissa37,314,Eunchae,Tour
jason47,315,Yunjin,Tour
smithandrew,316,Kazuha,Tour
johnsonashley,317,Sakura,Concert
dalewhite,318,Chaewon,Tour
lawsontanya,319,Eunchae,Merch Sale Event
pamhayes,320,Sakura,Tour
tjames,321,Yunjin,Reality Show
morrisonanne,322,Eunchae,Concert
stephanie46,323,Sakura,Tour
gonzalezthomas,324,Yunjin,Fan Meet-Up
kevin50,325,Sakura,Merch Sale Event
julieadams,326,Yunjin,Merch Sale Event
david89,327,Sakura,Tour
jacquelinemullen,328,Eunchae,Merch Sale Event
clarkechad,329,Chaewon,Merch Sale Event
markray,330,Eunchae,Reality Show
thompsonkaren,331,Kazuha,Reality Show
sandersmichael,332,Kazuha,Reality Show
dan71,333,Kazuha,Tour
uvelazquez,334,Kazuha,Reality Show
geoffrey23,335,Yunjin,Fan Meet-Up
lisa62,336,Chaewon,Merch Sale Event
kayla96,337,Sakura,Concert
lance65,338,Kazuha,Concert
shepherdtammy,339,Chaewon,Concert
dixonteresa,340,Eunchae,Reality Show
eberg,341,Eunchae,Fan Meet-Up
zhoward,342,Kazuha,Tour
zimmermanlisa,343,Kazuha,Tour
nealpenny,344,Chaewon,Fan Meet-Up
watsonbreanna,345,Sakura,Fan Meet-Up
jameshenderson,346,Eunchae,Merch Sale Event
adamjoyce,347,Yunjin,Fan Meet-Up
mathewaustin,348,Sakura,Tour
patriciagilbert,349,Chaewon,Concert
martintyler,350,Kazuha,Merch Sale Event
zsawyer,351,Chaewon,Tour
brianelliott,352,Eunchae,Reality Show
dhoward,353,Kazuha,Concert
luis38,354,Kazuha,Concert
ofrazier,355,Yunjin,Tour
gregorycraig,356,Yunjin,Reality Show
antonio39,357,Chaewon,Fan Meet-Up
lowen,358,Kazuha,Fan Meet-Up
stephanieholder,359,Eunchae,Merch Sale Event
nharrington,360,Eunchae,Merch Sale Event
scottbates,361,Yunjin,Concert
ryan93,362,Sakura,Merch Sale Event
hamptonjohn,363,Sakura,Fan Meet-Up
michelle94,364,Eunchae,Reality Show
lwilliams,365,Yunjin,Reality Show
lindsey77,366,Yunjin,Fan Meet-Up
amurray,367,Kazuha,Concert
beaton,368,Chaewon,Concert
karen32,369,Chaewon,Concert
aliciapalmer,370,Yunjin,Fan Meet-Up
debra67,371,Yunjin,Fan Meet-Up
joshuaguerrero,372,Chaewon,Fan Meet-Up
jon38,373,Sakura,Merch Sale Event
qedwards,374,Sakura,Reality Show
mstephens,375,Yunjin,Merch Sale Event
hyoung,376,Eunchae,Tour
omay,377,Sakura,Concert
robinjackson,378,Sakura,Tour
leahanderson,379,Kazuha,Reality Show
jamesperez,380,Eunchae,Merch Sale Event
bairddeborah,381,Sakura,Concert
marywells,382,Kazuha,Fan Meet-Up
timothyjohnson,383,Yunjin,Reality Show
uwaters,384,Chaewon,Reality Show
amberpennington,385,Yunjin,Merch Sale Event
jamieblake,386,Kazuha,Fan Meet-Up
jonesandrea,387,Sakura,Merch Sale Event
william50,388,Kazuha,Fan Meet-Up
mary28,389,Yunjin,Concert
greenjill,390,Yunjin,Reality Show
ggardner,391,Eunchae,Tour
snyderdebra,392,Kazuha,Tour
mcguireashley,393,Sakura,Tour
jameshenderson,394,Chaewon,Reality Show
thomasnicholas,395,Sakura,Merch Sale Event
rogerskathy,396,Yunjin,Fan Meet-Up
cbowers,397,Kazuha,Tour
kristy77,398,Sakura,Reality Show
richardsonmichelle,399,Chaewon,Fan Meet-Up
tiffanysanford,400,Kazuha,Reality Show
harmstrong,401,Sakura,Concert
tiffanysmith,402,Eunchae,Fan Meet-Up
daychristina,403,Yunjin,Reality Show
uschultz,404,Kazuha,Tour
jason09,405,Sakura,Merch Sale Event
hannahcooper,406,Sakura,Fan Meet-Up
rmartinez,407,Yunjin,Tour
michaelrodriguez,408,Eunchae,Reality Show
tonicraig,409,Sakura,Reality Show
kmiller,410,Sakura,Concert
whiteelijah,411,Eunchae,Reality Show
victoria69,412,Kazuha,Fan Meet-Up
christina64,413,Eunchae,Merch Sale Event
mark59,414,Yunjin,Reality Show
hogandavid,415,Sakura,Reality Show
lynnbailey,416,Yunjin,Fan Meet-Up
maryellis,417,Chaewon,Fan Meet-Up
jbush,418,Eunchae,Fan Meet-Up
richardstaylor,419,Sakura,Merch Sale Event
castillocheryl,420,Kazuha,Concert
mathewaustin,421,Eunchae,Merch Sale Event
sean45,422,Chaewon,Tour
justiningram,423,Kazuha,Merch Sale Event
brianna56,424,Eunchae,Merch Sale Event
robert67,425,Yunjin,Reality Show
matthew45,426,Sakura,Tour
joe92,427,Chaewon,Concert
stephensrichard,428,Sakura,Reality Show
lyonsandrew,429,Kazuha,Merch Sale Event
charris,430,Kazuha,Merch Sale Event
wilkinsonisaiah,431,Sakura,Reality Show
schneiderjose,432,Yunjin,Concert
tstevenson,433,Eunchae,Merch Sale Event
laura13,434,Sakura,Fan Meet-Up
ybridges,435,Kazuha,Tour
shepherdtammy,436,Eunchae,Concert
ashleyconner,437,Sakura,Reality Show
charles58,438,Kazuha,Fan Meet-Up
hjames,439,Eunchae,Concert
qjones,440,Yunjin,Tour
christinemoore,441,Sakura,Tour
scottsanchez,442,Yunjin,Fan Meet-Up
kristenevans,443,Kazuha,Merch Sale Event
kristabrown,444,Eunchae,Merch Sale Event
katherinekramer,445,Sakura,Fan Meet-Up
gregory33,446,Eunchae,Fan Meet-Up
ebonygibson,447,Eunchae,Fan Meet-Up
armstrongandrew,448,Kazuha,Merch Sale Event
dixonteresa,449,Eunchae,Merch Sale Event
fbarrett,450,Chaewon,Fan Meet-Up
santiagoshelia,451,Eunchae,Fan Meet-Up
wsnyder,452,Yunjin,Concert
crystal60,453,Chaewon,Reality Show
drewwilliams,454,Sakura,Concert
andersonstephanie,455,Sakura,Reality Show
warroyo,456,Sakura,Tour
tyleraguilar,457,Kazuha,Merch Sale Event
cindy81,458,Eunchae,Tour
alexandertravis,459,Sakura,Fan Meet-Up
judy92,460,Eunchae,Concert
mauricebrewer,461,Kazuha,Merch Sale Event
linda47,462,Yunjin,Merch Sale Event
bsimmons,463,Sakura,Tour
eric33,464,Sakura,Concert
martintyler,465,Sakura,Reality Show
brianmorgan,466,Kazuha,Concert
onelson,467,Chaewon,Merch Sale Event
shawnosborn,468,Kazuha,Merch Sale Event
harperfred,469,Yunjin,Merch Sale Event
mortega,470,Yunjin,Fan Meet-Up
mellison,471,Chaewon,Merch Sale Event
irice,472,Chaewon,Tour
zlee,473,Chaewon,Tour
xpatel,474,Kazuha,Reality Show
christopherwebster,475,Yunjin,Fan Meet-Up
aaronscott,476,Sakura,Fan Meet-Up
ayersangela,477,Chaewon,Merch Sale Event
richard44,478,Kazuha,Fan Meet-Up
vbell,479,Chaewon,Reality Show
kenneth31,480,Eunchae,Merch Sale Event
barrynathaniel,481,Chaewon,Tour
dalewhite,482,Sakura,Reality Show
aharper,483,Sakura,Concert
tbrennan,484,Chaewon,Concert
theodore04,485,Chaewon,Concert
brianna56,486,Kazuha,Concert
jessicabowen,487,Kazuha,Reality Show
katherine19,488,Sakura,Concert
kevinhogan,489,Sakura,Tour
carpenterzachary,490,Sakura,Concert
austinmary,491,Sakura,Fan Meet-Up
matthewgutierrez,492,Chaewon,Tour
morenojason,493,Eunchae,Fan Meet-Up
vargasdorothy,494,Eunchae,Reality Show
hudsonkarl,495,Chaewon,Tour
villegasdon,496,Kazuha,Fan Meet-Up
yfields,497,Sakura,Reality Show
daltondavid,498,Sakura,Tour
melissalewis,499,Chaewon,Tour
elizabeth40,500,Kazuha,Fan Meet-Up
fishertammy,501,Sakura,Merch Sale Event
aliciapalmer,502,Kazuha,Fan Meet-Up
gnielsen,503,Yunjin,Reality Show
jennifer86,504,Eunchae,Tour
zorr,505,Kazuha,Fan Meet-Up
lbutler,506,Yunjin,Merch Sale Event
connor04,507,Sakura,Fan Meet-Up
lclark,508,Yunjin,Fan Meet-Up
raysandra,509,Sakura,Concert
